run_id,problem_id,title_zh,contest,year,group,dataset_id,difficulty,difficulty_rank,difficulty_at_run,difficulty_source,difficulty_status,data_status,campaign_id,campaign_entry_status,database_status,stop_reason,created_at,updated_at,completed_at,attempt,compile_verdict,judge_verdict,passed_tests,total_tests,score,answer_correct,process_correct,strict_success,answer_only_ac,error_type,first_error_step_id,code_location,diagnosis_confidence,evidence_count,failure_pattern,initial_judge_verdict,initial_passed_tests,initial_total_tests,initial_score,initial_answer_correct,initial_process_correct,initial_error_type,initial_first_error_step_id,repair_round_count,repair_attempt_count,code_revision_count,proof_only_round_count,regression_count,repair_success,model_calls,successful_model_calls,failed_model_calls,model_duration_ms_sum,prompt_tokens_recorded,completion_tokens_recorded,reasoning_tokens_recorded,total_tokens_recorded,model_roles,best_revision_id,source_artifact_id,result_sha256,manifest_path,source_run_path
run_U3dSbFG7mYQvk1i,money,货币系统,NOIP,2018,senior,noip2018,普及+/提高−,4,,current_manifest_backfill,PENDING_USER_LABEL,official,,,COMPLETED,STALLED,2026-08-25T08:38:28.650007+00:00,2026-08-25T08:48:53.155442+00:00,2026-08-25T08:48:53.144845+00:00,0,OK,RE,0,20,0.0,False,True,False,False,RUNTIME_ERROR,,,1.0,3,RE:20,RE,0,20,0.0,False,True,RUNTIME_ERROR,,2,,,,0,False,0,0,0,0,0,0,0,0,,r000,source_Op2hgbIcDq7L3f2E,3d493d73499e090c494c8d33c604c8d68224089a273f71294b1a8c659aabcac0,data/manifests/noip2018/money.json,runs/run_U3dSbFG7mYQvk1i
run_yHNcIv0bZL87GTJJ,money,货币系统,NOIP,2018,senior,noip2018,普及+/提高−,4,,current_manifest_backfill,PENDING_USER_LABEL,official,,,COMPLETED,STALLED,2026-08-25T12:08:23.313611+00:00,2026-08-25T12:20:25.875578+00:00,2026-08-25T12:20:25.866070+00:00,0,OK,RE,0,20,0.0,False,True,False,False,RUNTIME_ERROR,,,1.0,3,RE:20,RE,0,20,0.0,False,True,RUNTIME_ERROR,,2,,,,1,False,0,0,0,0,0,0,0,0,,r000,source_GlDyfLvRRwEtkGky,f20c917ae62704285bad81a40c6f7c53a35133d2827ea4300910a15b424213b6,data/manifests/noip2018/money.json,runs/run_yHNcIv0bZL87GTJJ
run_7xCuFaUSouoX3XBx,road,铺设道路,NOIP,2018,senior,noip2018,普及,3,,current_manifest_backfill,PENDING_USER_LABEL,official,,,COMPLETED,COMPLETED,2026-08-26T13:09:44.565890+00:00,2026-08-26T13:13:01.043463+00:00,2026-08-26T13:13:01.035655+00:00,0,OK,AC,10,10,100.0,True,True,True,False,UNRESOLVED,,,0.9,2,AC:10,AC,10,10,100.0,True,True,UNRESOLVED,,0,,,,0,False,0,0,0,0,0,0,0,0,,r000,source_E3CxqvoNWicj5P7O,0f32095feccefb15f702976ec6ec2e56e5b8baa0a8510d162d5d5d375d8ab3ba,data/manifests/noip2018/road.json,runs/run_7xCuFaUSouoX3XBx
run_Dwq5kWBqPd8K3Tqb,track,赛道修建,NOIP,2018,senior,noip2018,提高,5,,current_manifest_backfill,PENDING_USER_LABEL,official,,,COMPLETED,COMPLETED,2026-08-26T13:14:14.049499+00:00,2026-08-26T13:32:16.701152+00:00,2026-08-26T13:32:16.686669+00:00,0,OK,AC,20,20,100.0,True,True,True,False,UNRESOLVED,,,0.9,2,AC:20,WA,16,20,80.0,False,True,IMPLEMENTATION_MISMATCH,,1,,,,0,True,0,0,0,0,0,0,0,0,,r001,source_2P0GVrVNBjKqVZhS,2f0aab63c911fda4279780da7249b935574c7f8cbf363c4381c228b06f07b0f1,data/manifests/noip2018/track.json,runs/run_Dwq5kWBqPd8K3Tqb
run_hrFicZzSxzEVtwNm,defense,保卫王国,NOIP,2018,senior,noip2018,省选/NOI−,7,,current_manifest_backfill,PENDING_USER_LABEL,official,,,COMPLETED,STALLED,2026-08-27T04:56:20.160885+00:00,2026-08-27T05:18:19.076418+00:00,2026-08-27T05:18:19.043765+00:00,0,OK,AC,25,25,100.0,True,False,False,True,RESULT_CORRECT_PROCESS_INVALID,S5,,0.9,3,AC:25,WA,12,25,48.0,False,False,STATE_TRANSITION_ERROR,S7,1,,,,0,False,0,0,0,0,0,0,0,0,,r001,source_aq39JUvpF5N3Cq,ec070fb1b97db5ddaef3a9c645e85b8c1139c08e5a12af26e3f835d42db2ef9f,data/manifests/noip2018/defense.json,runs/run_hrFicZzSxzEVtwNm
run_0RBbx1H0DHLxSwcm,money,货币系统,NOIP,2018,senior,noip2018,普及+/提高−,4,,current_manifest_backfill,PENDING_USER_LABEL,official,,,COMPLETED,COMPLETED,2026-08-29T12:37:07.760307+00:00,2026-08-29T12:39:11.991654+00:00,2026-08-29T12:39:11.980009+00:00,0,OK,AC,20,20,100.0,True,True,True,False,UNRESOLVED,,,0.9,2,AC:20,AC,20,20,100.0,True,True,UNRESOLVED,,0,,,,0,False,0,0,0,0,0,0,0,0,,r000,source_Z6PbWL3PA7gMDnqP,c996bfe341e4d028b7cb70b574bce2f08da61530860dd6a3ba410e399e2cff57,data/manifests/noip2018/money.json,runs/run_0RBbx1H0DHLxSwcm
run_413ygPvc9xnUEt,road,铺设道路,NOIP,2018,senior,noip2018,普及,3,,current_manifest_backfill,PENDING_USER_LABEL,official,,,COMPLETED,STALLED,2026-08-30T05:45:33.416775+00:00,2026-08-30T05:59:38.208623+00:00,2026-08-30T05:59:38.197663+00:00,0,OK,WA,1,10,10.0,False,True,False,False,IMPLEMENTATION_MISMATCH,,,1.0,3,AC:1;WA:9,WA,1,10,10.0,False,True,IMPLEMENTATION_MISMATCH,,2,,,,2,False,11,10,1,859406,15875,48299,45414,64174,algorithm_critic:4;code_critic:3;code_repair_agent:2;problem_analyst:1;solver:1,r000,source_BldS82uFZmvouJd,26e211f6b446a63cba8a688659218c6f59b97b59435d05ff5f7cf982d825b537,data/manifests/noip2018/road.json,runs/run_413ygPvc9xnUEt
run_TwEVIQPrlAjRkBQy,road,铺设道路,NOIP,2018,senior,noip2018,普及,3,,current_manifest_backfill,PENDING_USER_LABEL,official,,,COMPLETED,STALLED,2026-08-30T06:25:36.741707+00:00,2026-08-30T06:37:08.184927+00:00,2026-08-30T06:37:08.173935+00:00,0,OK,WA,0,10,0.0,False,True,False,False,IMPLEMENTATION_MISMATCH,,,1.0,3,WA:10,WA,0,10,0.0,False,True,IMPLEMENTATION_MISMATCH,,2,,,,0,False,11,10,1,726843,16605,30494,27298,47099,algorithm_critic:3;code_critic:4;code_repair_agent:2;problem_analyst:1;solver:1,r000,source_6bDLLrjgPfrbAWd,6930c37eb881df62a4ffe0214d1365585687bc97261fa4c7245cacd347531d2e,data/manifests/noip2018/road.json,runs/run_TwEVIQPrlAjRkBQy
run_4e0W5orayvxmk5T,travel,旅行,NOIP,2018,senior,noip2018,提高,5,,current_manifest_backfill,PENDING_USER_LABEL,official,,,COMPLETED,STALLED,2026-08-30T07:47:18.874195+00:00,2026-08-30T07:50:22.519729+00:00,2026-08-30T07:50:22.509952+00:00,0,OK,WA,0,25,0.0,False,True,False,False,IMPLEMENTATION_MISMATCH,,,1.0,3,WA:25,WA,0,25,0.0,False,True,IMPLEMENTATION_MISMATCH,,0,,,,0,False,7,5,2,175407,9117,11850,10427,20967,algorithm_critic:1;code_critic:1;code_repair_agent:3;problem_analyst:1;solver:1,r000,source_STZvUhLhc2VEuC3w,66c2b221f64919f6253843b7176b788c04245908f3476e3ede6ff76548caf2a5,data/manifests/noip2018/travel.json,runs/run_4e0W5orayvxmk5T
run_rVw9lQjtzswivzbX,money,货币系统,NOIP,2018,senior,noip2018,普及+/提高−,4,,current_manifest_backfill,PENDING_USER_LABEL,official,,,COMPLETED,COMPLETED,2026-08-30T08:59:42.635817+00:00,2026-08-30T09:02:13.097651+00:00,2026-08-30T09:02:13.086711+00:00,0,OK,AC,20,20,100.0,True,True,True,False,UNRESOLVED,,,0.9,2,AC:20,AC,20,20,100.0,True,True,UNRESOLVED,,0,,,,0,False,4,4,0,169516,8959,21588,18425,30547,algorithm_critic:1;code_critic:1;problem_analyst:1;solver:1,r000,source_k5U4q6sAUFwEciL7,782955e4598de4b0a2fc1047b583963a56e14929b6448058c8aade2cf3c46500,data/manifests/noip2018/money.json,runs/run_rVw9lQjtzswivzbX
