problem_id,title_zh,dataset_id,difficulty,difficulty_rank,completed_run_count,answer_ac_ever,strict_success_ever,answer_ac_run_id,strict_success_run_id,latest_completed_run_id,latest_answer_correct,latest_process_correct,latest_strict_success,latest_stop_reason,manifest_path
csps2019_senior_brackets,括号树,csps2019_senior,普及+/提高−,4,2,True,False,run_JaRCJGH9JcKuBQX,,run_1m3mkQ91xTgx3KFV,True,False,False,STALLED,data/manifests/csps2019_senior/csps2019_senior_brackets.json
csps2019_senior_centroid,树的重心,csps2019_senior,省选/NOI−,7,1,False,False,,,run_FtEaK8qwSchJzpfN,False,False,False,STALLED,data/manifests/csps2019_senior/csps2019_senior_centroid.json
csps2019_senior_code,格雷码,csps2019_senior,普及−,2,1,True,True,run_ueCo7xYz7YkCGfD,run_ueCo7xYz7YkCGfD,run_ueCo7xYz7YkCGfD,True,True,True,COMPLETED,data/manifests/csps2019_senior/csps2019_senior_code.json
csps2019_senior_meal,Emiya 家今天的饭,csps2019_senior,提高+/省选−,6,2,True,False,run_gOowsDgYELSN39l,,run_krEiXGViNlhpYyxV,True,False,False,STALLED,data/manifests/csps2019_senior/csps2019_senior_meal.json
csps2019_senior_partition,划分,csps2019_senior,省选/NOI−,7,1,False,False,,,run_ZUWaK3nQpE57O40P,False,False,False,STALLED,data/manifests/csps2019_senior/csps2019_senior_partition.json
csps2019_senior_tree,树上的数,csps2019_senior,NOI/NOI+/CTS,8,3,False,False,,,run_tsJab6z3l0ujrLvM,False,False,False,REPAIR_DISABLED,data/manifests/csps2019_senior/csps2019_senior_tree.json
csps2020_senior_call,函数调用,csps2020_senior,提高+/省选−,6,1,True,True,run_pFN7Dj8CEk463D,run_pFN7Dj8CEk463D,run_pFN7Dj8CEk463D,True,True,True,COMPLETED,data/manifests/csps2020_senior/csps2020_senior_call.json
csps2020_senior_julian,儒略日,csps2020_senior,普及+/提高−,4,1,True,True,run_Xja7G1LcEDKlLo,run_Xja7G1LcEDKlLo,run_Xja7G1LcEDKlLo,True,True,True,COMPLETED,data/manifests/csps2020_senior/csps2020_senior_julian.json
csps2020_senior_snakes,贪吃蛇,csps2020_senior,省选/NOI−,7,1,True,False,run_gZnBYgrGdN0bhbYL,,run_gZnBYgrGdN0bhbYL,True,False,False,MAX_ROUNDS,data/manifests/csps2020_senior/csps2020_senior_snakes.json
csps2020_senior_zoo,动物园,csps2020_senior,普及,3,1,True,True,run_OVXoF70wwqzDYVk,run_OVXoF70wwqzDYVk,run_OVXoF70wwqzDYVk,True,True,True,COMPLETED,data/manifests/csps2020_senior/csps2020_senior_zoo.json
csps2021_senior_airport,廊桥分配,csps2021_senior,普及+/提高−,4,1,True,True,run_m4f2CLks1kqFAPhO,run_m4f2CLks1kqFAPhO,run_m4f2CLks1kqFAPhO,True,True,True,COMPLETED,data/manifests/csps2021_senior/csps2021_senior_airport.json
