sample_order,case_id,run_id,problem_id,title_zh,difficulty,review_kind,selection_basis,machine_judge_verdict,machine_passed_tests,machine_total_tests,machine_final_result_correct,machine_process_correct,machine_first_error_step_id,machine_error_type,machine_confidence,assisted_review_status,assisted_actual_final_result_correct,assisted_actual_process_correct,assisted_actual_first_error_step_id,assisted_actual_error_type,assisted_issue_agreement,assisted_localization_exact_match,assisted_review_conclusion,assisted_review_evidence,assisted_reviewer,assisted_confidence,human_review_status,human_reviewer_1,human_reviewer_2,human_actual_final_result_correct,human_actual_process_correct,human_actual_first_error_step_id,human_actual_error_type,human_evidence,human_adjudication,human_signed_at,source_solver,source_process_evaluation,source_check
1,run_Dwq5kWBqPd8K3Tqb:r000:initial,run_Dwq5kWBqPd8K3Tqb,track,赛道修建,提高,incorrect_answer_localization,严格成功运行中发生过修复的初始版本，全量纳入,WA,16,20,False,True,,IMPLEMENTATION_MISMATCH,1.0,REVIEWED,False,False,S4,WRONG_ALGORITHM,False,False,首错应定位到 S4；评估器仅给出 IMPLEMENTATION_MISMATCH 且未定位，属于定位漏检。,"初始版本确定性判题为 WA（16/20）。 | S4 的两端配对只最大化当前配对数，没有在同等配对数下最大化向父节点返回的剩余链。候选链 [1,1,2]、阈值 2 时，原策略配对 1+2 并返回 1；配对 1+1 可保持一条完成路径并返回 2。 | 修复版改为 multiset 寻找最小可行搭档并通过 20/20，支持首错位于局部配对策略。",Codex 独立证据复核（非人工盲标）,0.95,待人工复核,,,,,,,,,,runs/run_Dwq5kWBqPd8K3Tqb/solver_output.json,runs/run_Dwq5kWBqPd8K3Tqb/initial_evaluation/process_evaluation.json,runs/run_Dwq5kWBqPd8K3Tqb/initial_evaluation/answer_check_result.json
2,run_nPPFL5vXxjog7GZ8:r000:initial,run_nPPFL5vXxjog7GZ8,track,赛道修建,提高,incorrect_answer_localization,严格成功运行中发生过修复的初始版本，全量纳入,WA,12,20,False,True,,IMPLEMENTATION_MISMATCH,1.0,REVIEWED,False,False,S4,WRONG_ALGORITHM,False,False,首错应定位到 S4；评估器把错误归为实现不一致但没有给出首错步骤。,"初始版本确定性判题为 WA（12/20）。 | S4 的最小值与最大值直接配对会牺牲可向上延伸的最大剩余链；[1,1,2]、阈值 2 是可复核反例。 | 代码与 S4 描述一致，因此不是单纯实现偏离，而是过程中的贪心规则本身不充分。",Codex 独立证据复核（非人工盲标）,0.95,待人工复核,,,,,,,,,,runs/run_nPPFL5vXxjog7GZ8/solver_output.json,runs/run_nPPFL5vXxjog7GZ8/initial_evaluation/process_evaluation.json,runs/run_nPPFL5vXxjog7GZ8/initial_evaluation/answer_check_result.json
3,run_R9reSD2WJqZJHWd9:r000:initial,run_R9reSD2WJqZJHWd9,track,赛道修建,提高,incorrect_answer_localization,严格成功运行中发生过修复的初始版本，全量纳入,WA,16,20,False,True,,IMPLEMENTATION_MISMATCH,1.0,REVIEWED,False,False,S4,WRONG_ALGORITHM,False,False,首错应定位到 S4；双路评审均把有反例的配对策略误判为正确。,"初始版本确定性判题为 WA（16/20）。 | S4 没有证明在最大配对数相同的情况下返回链也最优；[1,1,2]、阈值 2 直接否定该策略。 | 后续通过版本改变局部配对选择，说明问题不在二分或 I/O，而在 S4。",Codex 独立证据复核（非人工盲标）,0.95,待人工复核,,,,,,,,,,runs/run_R9reSD2WJqZJHWd9/solver_output.json,runs/run_R9reSD2WJqZJHWd9/initial_evaluation/process_evaluation.json,runs/run_R9reSD2WJqZJHWd9/initial_evaluation/answer_check_result.json
4,run_Uzytk8n4cDblWHh:r000:initial,run_Uzytk8n4cDblWHh,road,铺设道路,普及,correct_answer_flagged,严格成功运行中发生过修复的初始版本，全量纳入,AC,10,10,True,False,S3,RESULT_CORRECT_PROCESS_INVALID,1.0,REVIEWED,True,False,S3,RESULT_CORRECT_PROCESS_INVALID,True,True,真实过程问题，S3 的单调性不变量错误；不是误报。,"确定性判题为 AC（10/10），答案正确。 | 对 d=[2,1,1] 在区间 [2,2] 操作后，正差分和从 2 增至 3，反驳 S3 的单调性表述。 | 项目现有 WORKFLOW_LIVE_TEST_20260909.md 记录了同一公开反例，修复后重新评审通过。",Codex 独立证据复核（非人工盲标）,0.99,待人工复核,,,,,,,,,,runs/run_Uzytk8n4cDblWHh/solver_output.json,runs/run_Uzytk8n4cDblWHh/initial_evaluation/process_evaluation.json,runs/run_Uzytk8n4cDblWHh/initial_evaluation/answer_check_result.json
5,run_25X8tgq2qpxb0Yyc:r000:initial,run_25X8tgq2qpxb0Yyc,noip2015_junior_coin,金币,入门,correct_answer_flagged,严格成功运行中发生过修复的初始版本，全量纳入,AC,10,10,True,False,S1,RESULT_CORRECT_PROCESS_INVALID,0.95,REVIEWED,True,True,,UNRESOLVED,False,,评估器误报。S1 对 I/O 约束来源的措辞不精确，但执行动作与工作流强制要求一致，不构成解题过程失效。,确定性判题为 AC（10/10），算法步骤 S2-S5 可直接验证。 | src/hy3_contestlens/model.py 明确向 Solver 强制要求 coin.in/coin.out 的 freopen，workspace.py 也会以 REQUIRED_FILE_IO_MISSING 拒绝缺失调用。 | 评估器只依据 manifest 的 stdin_and_file/stdout_or_file 推断 freopen 可能导致运行错误，忽略了更高优先级的工作流约束；该风险与实际执行环境不成立。,Codex 独立证据复核（非人工盲标）,0.9,待人工复核,,,,,,,,,,runs/run_25X8tgq2qpxb0Yyc/solver_output.json,runs/run_25X8tgq2qpxb0Yyc/initial_evaluation/process_evaluation.json,runs/run_25X8tgq2qpxb0Yyc/initial_evaluation/answer_check_result.json
6,run_aI26zu6L1yVpXpr:r000:initial,run_aI26zu6L1yVpXpr,noip2016_junior_magic,魔法阵,普及+/提高−,correct_answer_flagged,严格成功运行中发生过修复的初始版本，全量纳入,AC,20,20,True,False,R6,RESULT_CORRECT_PROCESS_INVALID,0.9,REVIEWED,True,False,R5,RESULT_CORRECT_PROCESS_INVALID,True,False,存在真实过程瑕疵，但评估器首错定位偏晚：最早的可证伪陈述在 R5，而不是 R6。,确定性判题为 AC（20/20）。 | R5 声称约 2500 万次操作；按每个 t 的多轮线性扫描重算约为 1.5 亿次，具体数量级陈述错误。 | R6 的 freopen 本身由 Solver 工作流强制要求；把 R6 作为首错忽略了 R5 更早出现的错误复杂度陈述。,Codex 独立证据复核（非人工盲标）,0.9,待人工复核,,,,,,,,,,runs/run_aI26zu6L1yVpXpr/solver_output.json,runs/run_aI26zu6L1yVpXpr/initial_evaluation/process_evaluation.json,runs/run_aI26zu6L1yVpXpr/initial_evaluation/answer_check_result.json
7,run_Y7Ys6c6YegTHoMdR:r000:initial,run_Y7Ys6c6YegTHoMdR,noip2020_senior_string,字符串匹配,提高+/省选−,correct_answer_flagged,严格成功运行中发生过修复的初始版本，全量纳入,AC,25,25,True,False,S6,RESULT_CORRECT_PROCESS_INVALID,0.97,REVIEWED,True,False,S6,RESULT_CORRECT_PROCESS_INVALID,True,True,真实过程问题，S6 的文字步骤漏写初始插入 g[1]，与实际正确代码不一致。,确定性判题为 AC（25/25）。 | 若严格按 S6 的文字仅在每轮后加入 g[L]，处理 L=2 时不会包含唯一合法的 a=1。 | 初始 C++ 在循环前实际执行 freq[g[1]]++，证明代码正确但过程说明缺失关键基例。,Codex 独立证据复核（非人工盲标）,0.98,待人工复核,,,,,,,,,,runs/run_Y7Ys6c6YegTHoMdR/solver_output.json,runs/run_Y7Ys6c6YegTHoMdR/initial_evaluation/process_evaluation.json,runs/run_Y7Ys6c6YegTHoMdR/initial_evaluation/answer_check_result.json
8,run_NTDFmqoRKKpYRFY2:r000:initial,run_NTDFmqoRKKpYRFY2,noip2022_senior_barrack,建造军营,提高+/省选−,incorrect_answer_localization,严格成功运行中发生过修复的初始版本，全量纳入,WA,0,20,False,False,S8,WRONG_ALGORITHM,0.9866666666666667,REVIEWED,False,False,S8,WRONG_ALGORITHM,True,True,定位正确。S8 的树 DP 漏计当前分量权重，反例和修复轨迹均支持该结论。,初始版本确定性判题为 WA（0/20）。 | 单节点和两节点桥树即可验证 S8 递推漏掉 a_u，评审记录给出可手算反例。 | 修复 S8/S9 后达到 20/20 且过程评审通过。,Codex 独立证据复核（非人工盲标）,0.99,待人工复核,,,,,,,,,,runs/run_NTDFmqoRKKpYRFY2/solver_output.json,runs/run_NTDFmqoRKKpYRFY2/initial_evaluation/process_evaluation.json,runs/run_NTDFmqoRKKpYRFY2/initial_evaluation/answer_check_result.json
9,run_m4f2CLks1kqFAPhO:r000:initial,run_m4f2CLks1kqFAPhO,csps2021_senior_airport,廊桥分配,普及+/提高−,incorrect_answer_localization,严格成功运行中发生过修复的初始版本，全量纳入,WA,5,20,False,False,S2,WRONG_ALGORITHM,0.9640000000000001,REVIEWED,False,False,S2,WRONG_ALGORITHM,True,True,定位正确。S2 复用最早释放的编号，而不是最小空闲编号，破坏了前缀计数含义。,"初始版本确定性判题为 WA（5/20）。 | 项目记录的 6 航班反例显示原分配得到编号 [1,2,3,4,5,5]，但 4 个廊桥应可停靠 5 架。 | 修复版增加空闲编号最小堆后达到 20/20。",Codex 独立证据复核（非人工盲标）,0.99,待人工复核,,,,,,,,,,runs/run_m4f2CLks1kqFAPhO/solver_output.json,runs/run_m4f2CLks1kqFAPhO/initial_evaluation/process_evaluation.json,runs/run_m4f2CLks1kqFAPhO/initial_evaluation/answer_check_result.json
10,run_ogSNVlvSTdibvV9T:r000:initial,run_ogSNVlvSTdibvV9T,csps2024_senior_detect,超速检测,普及+/提高−,incorrect_answer_localization,严格成功运行中发生过修复的初始版本，全量纳入,WA,4,10,False,False,S3,WRONG_ALGORITHM,1.0,REVIEWED,False,False,S3,WRONG_ALGORITHM,True,True,定位正确。S3 对负加速度车辆错误假设判定谓词全局单调。,"初始版本确定性判题为 WA（4/10），失败点与负加速度数据对应。 | p=[0,10,50], d=0, a=-1, v=10, V=1 时谓词呈真后假，原 lower_bound 逻辑会漏掉可检测区间。 | 按加速度符号分支并解析区间后达到 10/10。",Codex 独立证据复核（非人工盲标）,0.99,待人工复核,,,,,,,,,,runs/run_ogSNVlvSTdibvV9T/solver_output.json,runs/run_ogSNVlvSTdibvV9T/initial_evaluation/process_evaluation.json,runs/run_ogSNVlvSTdibvV9T/initial_evaluation/answer_check_result.json
